key,method,path,origin,summary,description,inputs,bound_intents,regex_domain,action,domain_corrected,entity
86531629fe43208ba07dc5fb924bb4a9cc7779e0326fcb0c2599f139087e7e5c,POST,/api/site/renew,https://stableupload.dev,Renew a site for count x the original tier retention window. Price = tier price x count.,,uploadId | tier | count,cloud.domains,shop,provision,storage,Webpage
4806a51ac5e35db65b89c7df21699179da5d49595e93464894ef6065b0402398,POST,/api/site/domain,https://stableupload.dev,Connect a custom domain to a site. Creates TLS cert and routes the hostname to the site.,,uploadId | hostname,cloud.domains,,provision,cloud,Webpage
ede33d0612c326e246f43ea066bc030dfec031caeab75040e887b914d47156b3,DELETE,/api/site/domain,https://stableupload.dev,Detach a custom domain from a site.,,uploadId,cloud.domains,,provision,cloud,Webpage
ff647bd3a7860d73f3ee6556c062f50fb2a41b8f6a5f0c3fead2d081fa9b3c97,GET,/ui/custom-domain/pay/register,https://mail.cusethejuice.com,"""Register a custom domain (annual x402, browser flow) ($10 via x402)""","""Register a custom domain (annual x402, browser flow).""",,cloud.domains,,provision,cloud,Domain
d885899e628517c4114cac1c26230288da50d1064f275eaa00f7b002d7ec5b3b,GET,/ui/domain-admin/pay/login,https://mail.cusethejuice.com,Domain administrator login (x402 pay step) ($0.01 via x402),Domain administrator login (x402 pay step).,,cloud.domains,,execute,cloud,Domain
e1c0d7c56b759bb2909b5b4f5daa21120077516b589f35510b3d1b5c18432e4d,GET,/api/hotels/ratings,https://stabletravel.dev,Get hotel sentiment ratings and reviews,,hotelIds,travel.place_reviews,travel,lookup,,
ad81cd8b3a091955b61179d3cbb6222064b19ae4ac998c9831b391b15654855d,GET,/api/hotels/search/by-hotel,https://stabletravel.dev,Search hotel offers for a specific hotel,,hotelId | adults | checkInDate | checkOutDate | countryOfResidence | priceRange | currencyCode | paymentPolicy | boardType | includeClosed | bestRateOnly | lang,travel.place_reviews,travel,search,,
a2ae87ff20b013fc770e52dd54a7072e61d59399dcc51ed0566dd14d92f55f54,GET,/api/hotels/autocomplete,https://stabletravel.dev,Autocomplete hotel names,,keyword | subType | countryCode | lang | max,travel.place_reviews,travel,search,,
8eb46f0074fbc4c9fa8cb5bbd603ab2c1fd8e54298ab75fb85836719467149a6,POST,/api/hotels/book,https://stabletravel.dev,Create a hotel booking order,,data,travel.place_reviews,travel,provision,,
b96444f44daea5e28ae6ddae1e2a53122853bd704f0a2dfea99f9a5c7aa1be1d,GET,/api/hotels/list,https://stabletravel.dev,List hotels by city code,,cityCode | radius | radiusUnit | chainCodes | amenities | ratings | hotelScore | max,travel.place_reviews,,lookup,travel,
f22ed30f1d5ff6cea944a9801c151a584dddbabcc00b7e83ebc048682f60190a,GET,/api/hotels/offer,https://stabletravel.dev,Get details of a specific hotel offer,,offerId,travel.place_reviews,travel,lookup,,
8aee7c4a91daf124aec7245dbc2698bf661786915ea9c8fb129b06e95e68e590,GET,/api/hotels/search,https://stabletravel.dev,Search hotel offers by hotel IDs,,hotelIds | adults | checkInDate | checkOutDate | countryOfResidence | priceRange | currencyCode | paymentPolicy | boardType | includeClosed | bestRateOnly | lang,travel.place_reviews,travel,search,,
6e7461db04258ee45a356a7fea60c7062ca5e75b2986db629b3b8fcf19c8ea12,GET,/ens/v1/subname/ens,https://api.justaname.id,Get all by ENS Domain,Retrieves all subnames associated with the provided ens domain,ensDomain | chainId | page | limit | isClaimed,cloud.domains,,lookup,cloud,Domain
150dffb275822e140d595c39886fafa9ad1ff9bbf8af30766e758307b7dec46b,POST,/v1/capabilities,https://api.agentinternetruntime.com,Capability Endpoint (SDK/x402 only),Legacy capability endpoint reserved for SDK orchestration and direct x402 payment. Standard platform API keys should use /v1/air instead.,domain | intent | limit | max_per_domain | min_confidence,cloud.domains,,lookup,cloud,
c2dd4e2fe3f934474fd2901ee5a4b0f33490ccdaff70aee702c48d0a0e8cd696,GET,/v1/agentjson,https://api.agentinternetruntime.com,Agent.json Index,"""Query the agent.json index for a domain. Site-published manifests are free, while AIR-generated manifests require auth or payment.""",domain,cloud.domains,analyst,lookup,web,
dc16eab8d0d18661138f68f411f33c3b1d725b1ae256d32194f1aa9ffcab4e59,GET,/ecom/reviews,https://api.cn402.com,"""Get Amazon product reviews by ASIN or URL: review text, star rating, title, author, date, verified-purchase and Vine fla""","""Get Amazon product reviews by ASIN or URL: review text, star rating, title, author, date, verified-purchase and Vine flags, helpful votes and variant, plus the product star-rating breakdown. Async: a first call with asin returns a snapshot id (collection ~40s); call again with that snapshot to fetch reviews. For review mining, sentiment, complaint detection and competitor weakness analysis. 亚马逊评论挖""",asin | url | max_reviews | domain | snapshot,travel.place_reviews,shop,lookup,,
010aafe8720ea486ee692a32ec9fd43dc5e5073a63008f7a269dfa40ceabbfa6,POST,/v1/tools/email/domains/{domain}/resume,https://win.oneshotagent.com,Resume a paused domain,Resume a paused domain,domain,cloud.domains,comms,provision,cloud,Mailbox
5f06cd46211ff53471fa8ba92c80999097d41045abc1faab208dc22a62cb1cd2,POST,/review-sentiment-analysis,https://x402.agentutility.ai,Review sentiment analysis API,"""Review sentiment analysis API / product review sentiment / app-store review classifier. Same backend as sentiment-analysis, listed for agents scoring product reviews with overall sentiment, emotion probabilities, confidence, and optional aspect scores.""",text | aspects,travel.place_reviews,shop,analyze,,
868a0cd1699bb0f9e7aa9c4078f768007349cd8676710909442cf66098846a19,POST,/domain-suggest,https://x402.agentutility.ai,Brandable domain suggester,"""Brandable domain suggester / startup-name brainstormer / product-name proposer / domain candidate generator. LLM brainstorms N short brandable candidates fitting a concept + tone, then verifies TLD availability across up to 6 TLDs via in-process domain-availability lookups. Returns candidates ranked by # available TLDs then brandability score, with per-TLD registrar info for each candidate. Pair w""",concept | count | tlds | tone,cloud.domains,shop,generate,cloud,Domain
5e590a1a15bcf393ce4017c41c29dcad82d7d6f104b1a3bdc863245544150b3b,POST,/business-name-generator,https://x402.agentutility.ai,Business name generator,"""Business name generator / company name ideas / brandable domain generator. Same backend as domain-suggest, exposed under the broad buyer wording for new business workflows. Brainstorms short brandable candidates for a concept, checks TLD availability, and ranks by available domains plus brandability score.""",concept | count | tlds | tone,cloud.domains,data,generate,cloud,Domain
b06c6578360ace3e176cb880e3d074345a6e1ad9581e4b9fc83eafc2e8542420,POST,/domain-name-generator,https://x402.agentutility.ai,Domain name generator,Domain name generator / available domain ideas / startup domain finder. Same backend as domain-suggest. Brainstorms domain-friendly names from a concept and checks RDAP availability across allowed TLDs.,concept | count | tlds | tone,cloud.domains,,generate,cloud,Domain
002e50bc4bbb4716abc08791c5ba7654036e93c7f2893435f0ed506469995221,POST,/domain-renewal-monitor,https://x402.agentutility.ai,Domain renewal monitor API,"""Domain renewal monitor API / expiration date checker / vendor domain expiry watch. Same RDAP backend as whois-lookup, discoverable for agents tracking renewal deadlines, registrar metadata, nameservers, and expiring-soon risk flags.""",domain | include_certificates,cloud.domains,data,monitor,cloud,Domain
8095b6c3ceeaa2b5be2f95d193dd5432fe5da90c0247257a50a2631d92c71fdb,POST,/ecommerce-review-sentiment,https://x402.agentutility.ai,Ecommerce review sentiment API,"""Ecommerce review sentiment API / marketplace review classifier / product feedback scorer. Same backend as sentiment-analysis, discoverable for agents scoring reviews by product aspect, emotion, and escalation risk.""",text | aspects,travel.place_reviews,shop,analyze,,
e4974add6b8bd7b307cf06c04424eb4dfb8017d7395009cf1f90c0ee7f4675db,POST,/restaurant-review-sentiment,https://x402.agentutility.ai,Restaurant review sentiment API,"""Restaurant review sentiment API / hospitality feedback classifier / food-service review scorer. Same sentiment-analysis backend, listed for agents classifying guest reviews by food, service, ambience, price, and return-intent aspects.""",text | aspects,travel.place_reviews,shop,analyze,,
ab27775367640d1d94a9e4d677e4722aa08a888e095ceedb372956021b7e1c1a,POST,/hotel-review-sentiment,https://x402.agentutility.ai,Hotel review sentiment API,"""Hotel review sentiment API / travel review classifier / guest feedback scorer. Same sentiment-analysis backend, exposed for agents classifying hotel, short-term rental, and travel experience reviews by cleanliness, location, staff, amenities, and value.""",text | aspects,travel.place_reviews,travel,analyze,,
5a3a45f77f36a83fd814c13ac95ac08be8faa954d46bf173c196996374ecf2f1,POST,/app-review-sentiment,https://x402.agentutility.ai,App review sentiment API,"""App review sentiment API / mobile app feedback classifier / store review analyzer. Same sentiment-analysis backend, listed for agents scoring app-store reviews by onboarding, stability, pricing, performance, and feature requests.""",text | aspects,travel.place_reviews,shop,analyze,,
d6b4fb605a3b47b68b74e10bbbdc1f91950edba10cdce8bc15c60aa5cc469147,GET,/x402/product-reviews-extract,https://api.strale.io,Product Reviews Extract (x402),"""Extract product reviews from Amazon, Trustpilot, or any review page. Returns rating distribution, pros/cons, sentiment.""",url,travel.place_reviews,shop,extract,,
d27c4e7daba7be64bf2c9230da28d9e8d620f0333e6b686e6a20f2eb7d26cc59,POST,/bulk-domain/check,https://netintel.dev,Check availability of many domain names across multiple TLDs in a single call — submit up to 50…,,names | tlds,cloud.domains,,lookup,cloud,Domain
c0680954ae7f96e224790960f06a89cf246c8dce0433c3bcea4d3d189e044382,GET,/domain-appraise/estimate,https://netintel.dev,"""Estimate the market value tier of a domain name using transparent heuristics — length, TLD premium,…""",,domain,cloud.domains,finance,analyze,cloud,Domain
205ba05c7758fe29b21d0267969a9939f96a9047a69751b65dc0e84050c9b14f,GET,/tld-price/compare,https://netintel.dev,"""Compare registration, renewal, and transfer prices for a TLD across major registrars, or for a…""",,tld | name,cloud.domains,shop,compare,cloud,Domain
d3765b5ec2d7a97f22bf127754be18b919523f4778d344f15cf2f7e1a023d4a2,GET,/typosquat/scan,https://netintel.dev,Generate common typo and look-alike variations of a domain and check which are already registered —…,,domain | limit,cloud.domains,ai,analyze,cloud,Domain
9471757c0d1aace3c23faf94a4f5f1ddfd34b66ae0ea66161e9fd5c8f6b1a649,GET,/domain-due-diligence,https://netintel.dev,"""One call combines domain availability, heuristic value appraisal, and TLD pricing into a single…""",,domain,cloud.domains,,analyze,cloud,Domain
b4a149c9f92a6114d367863192c75062bb218092e2faa88cf08b96bc2d2e0e70,GET,/api/travel-pulse,https://travel-agent.forgemesh.io,Live paid travel pulse,,lat | lon | radius_miles | lookback_hours | trip_phase | signal_types | water_site,travel.place_reviews,travel,lookup,,
f479d0ce432ff9673309c94c058b278d9da88bed87fef77bda53190aee32b104,POST,/custom-domains,https://api.stacktr.ee,Add a custom domain.,,hostname | site_id,cloud.domains,,provision,cloud,Domain
e090e7ebb6fac09797b89f2eea05edee7ebb43b6c0ac0ef5aaea5b43c94abe2c,POST,/api/lock/renew,https://2s.io,"""LOCK: extend a lock you hold, scoped to YOUR wallet.""","""LOCK: extend a lock you hold, scoped to YOUR wallet. Pass the key + the token you got from lock.acquire and a new ttlSeconds. Returns { renewed:true } only if your token still matches (you can't extend someone else's lock). Use it to keep a long-running critical section locked. Private to your wallet (the x402 payer).""",trial | key | token | ttlSeconds,cloud.domains,crypto,provision,compute,
e931be333a01049ba24e8c6c5c39f31bdf3573c9f526a47799f77faea11a8229,POST,/api/watchers/whois,https://2s.io,WATCHER: get a signed callback when a domain's WHOIS...,"""WATCHER: get a signed callback when a domain's WHOIS registration changes — registrar, expiry, or status. Arm once, pay once. Pass domain. Fires on any WHOIS change (e.g. transfer, renewal, expiry shift); bounded by maxFires/expiry. The record at arm time is baselined. Useful for catching domain transfers/expiries or monitoring a brand. Signed (verify offline) + retried; recoverable via watchers.s""",trial | domain | callbackUrl | payload | expiresInSeconds | maxFires | label,cloud.domains,marketing,monitor,cloud,Domain
b121cf3bfbfc81bc69e3d81960527eb0d7dabccba7a2641f97e3383db893d08b,POST,/review,https://api.babyblueviper.com,Review,,artifact | artifact_type | context | concerns | severity_threshold | include_trading_state | sign | seed,travel.place_reviews,travel,analyze,devtools,
a05f013da60755aeefe62563e5777a4615a9b7ec9f481dee2872d37883407ca5,POST,/review/external,https://api.babyblueviper.com,Review External,,artifact | artifact_type | context | concerns | severity_threshold | include_trading_state | sign | seed,travel.place_reviews,travel,analyze,devtools,
cd0952693730b0b8153c69caf3328a804423af26dfa3a953387a3d612f577d06,POST,/scan/deep,https://supership.crestsystems.ai,Deep AI-powered security review. PAID $15.,,files,travel.place_reviews,travel,analyze,devtools,
65ebf81750b6a2d3e36d2291efe680507b66e5b6a29986012f570524f1e023f4,POST,/v1/uploads/{id}/renew,https://api.munition.io,Renew a direct x402 upload,"""Munition Upload Renew: x402-paid direct HTTP renewal for an existing Munition direct-upload file. Pay 0.005 USDC via x402 on Base, Polygon, Arbitrum, or Solana to extend the public files.munition.io link by 7 days, up to 30 days from the original upload time.""",id,cloud.domains,crypto,provision,storage,Document
fc7e4109a9900f79fbf669e5c0c24557938dddeb0c2171e9b0a220e25998a018,GET,/api/risk/travel,https://riskpulse-five.vercel.app,Travel safety assessment,"""Advisory level (1-4), crime and health risks, entry requirements, safe/avoid areas, emergency contacts, and travel insurance recommendations.""",country | nationality | lang,travel.place_reviews,travel,analyze,,
7616a1435e22f0ee731e71b5ef634fe4d71e98309e09f6d67509c9035851153f,POST,/api/attractions/details,https://stabletickets.dev,Get Ticketmaster attraction details by attraction ID,,id | locale | domain,travel.place_reviews,,lookup,travel,
8a531d94a7c4190fc33425caa02c4ef5e8281c6daf88091edbf834e3a06e2f71,POST,/api/attractions/search,https://stabletickets.dev,"""Search Ticketmaster attractions such as artists, teams, and performers""",,keyword | locale | source | includeTest | size | page | sort | domain | id | classificationId | segmentId | genreId | subGenreId | preferredCountry,travel.place_reviews,,search,travel,
0c84c8ac184bdc957514a89908e1dd6e476355bf7fa83c4ee9f64155fb4619d9,GET,/api/x402/domain-intel-json,https://lionx402.com,lion_domain_intel,"""Keyless domain & trust intelligence - no API key, no signup, payment is the only gate. Pass a domain (?domain=stripe.com) and get ONE structured JSON of mechanical trust + web-tech signals to gate a counterparty before trusting it: DNS (A/AAAA/MX/NS, has_spf, has_dmarc, txt_count via Cloudflare DNS-over-HTTPS), HTTP (status, server, powered_by, https_enforced, security headers HSTS/CSP/X-Frame/X-C""",domain,cloud.domains,cloud,analyze,cloud,Domain
61b6290fa481936bdab009d46bad0c3752fe895cb35aa16a2dcc9c78e664d872,GET,/v1/tools/domain-extract,https://gpt55.558686.xyz,Extract host and naive domain parts using x402 USDC payment via GET,"""Extract hostname, labels, subdomain, and a naive last-two-label registrable domain from a URL or hostname without DNS or upstream model calls. GET variant for agents and crawlers that prefer query parameters over a JSON body. Requires either Authorization: Bearer <key> or Pay up to $0.0001 per request with x402 USDC on Base. Exact fixed-price payment and upto token-metered payment are both accepte""",url | hostname,cloud.domains,crypto,extract,cloud,Domain
752d4a8a9039b3c430f02ea65935b6bf5e3837e75562aca48aea26ed52345c56,POST,/v1/tools/domain-extract,https://gpt55.558686.xyz,Extract host and naive domain parts using x402 USDC payment,"""Extract hostname, labels, subdomain, and a naive last-two-label registrable domain from a URL or hostname without DNS or upstream model calls. Requires either Authorization: Bearer <key> or Pay up to $0.0001 per request with x402 USDC on Base. Exact fixed-price payment and upto token-metered payment are both accepted when clients support them; upto settlements use actual response usage, a 0.0001 m""",url | hostname,cloud.domains,crypto,extract,cloud,Domain
af617ef27e0596109953bc82867709446e8b9445dd4d38bbf75024be51b6261a,POST,/api/sc/tiktok/shop/product/reviews,https://socialx402.com,Scrape Creators · TikTok — Product Reviews,,url | product_id | region | page,travel.place_reviews,shop,lookup,,
a4ffb7abee58e98f38e05efbc08783e9dbd08113788d888c279a9d41644b4c4b,GET,/autopilot/review,https://api.dropspace.dev,list drafts awaiting approval (review mode),each item is a draft launch - edit it first with PATCH /launches/:id if needed,page | page_size,travel.place_reviews,travel,lookup,marketing,
24a6b3e228b9867d8ec60a4c4b592ab3586a48a688a57473ee9a645994d9ce7d,POST,/autopilot/review/{launchId}/reject,https://api.dropspace.dev,reject a draft - deletes it and refunds the launch slot,,launchId | feedback,travel.place_reviews,travel,execute,marketing,
c6303db5f67693eaf20880d1a6171cfe2b8a869f9baeb1116b86c614bc3756a7,POST,/v1/run/amazon.reviews,https://api.getanyapi.com,Amazon Reviews,"""Pull up to 50 customer reviews for any Amazon product by ASIN or URL — rating, title, text, date, and verified-purchase badge — at a flat per-request USD price.""",fields | max_items | summary | limit | product | region | sort,travel.place_reviews,shop,lookup,,
59c242d4b5b1e206d9e858ceac8b526b55ece6d08cd0211be8d6db129894bcf1,POST,/v1/run/appstore.reviews,https://api.getanyapi.com,App Store Reviews,"""Get App Store reviews for any iOS app by app ID, in any storefront country — ratings, titles, and review text with transparent per-request USD pricing.""",fields | max_items | summary | appId | country | limit,travel.place_reviews,shop,lookup,,
16df5b07a0e3d7f457b863befb0e6190c80c3af0165844ed31a4a298aa1c4f4e,POST,/v1/run/booking.search,https://api.getanyapi.com,Booking.com Search,"""Search Booking.com stays by destination and dates and get hotel results (name, price, review score, location) as normalized JSON with flat per-request USD pricing.""",fields | max_items | summary | checkIn | checkOut | currency | limit | query,travel.place_reviews,shop,search,travel,
e772444675f264f591985965a55aabbb025c5dce5a08ccb60c175e87826551f7,POST,/v1/run/maps.reviews,https://api.getanyapi.com,Google Maps Reviews,"""Fetch up to 100 Google Maps reviews for a place by place ID, sorted the way you need, in one flat-priced normalized response.""",fields | max_items | summary | language | limit | placeId | sort,travel.place_reviews,maps,lookup,,
235a58e0bf5ea0f94b92ea03862d7fce48c24e825027cb3279a51a24ff72db5e,POST,/v1/run/playstore.reviews,https://api.getanyapi.com,Google Play Reviews,"""Fetch Google Play reviews for any Android app by package name or store URL — ratings, review text, dates, and helpfulness votes, billed per request in USD.""",fields | max_items | summary | appId | limit | rating | sortBy,travel.place_reviews,shop,lookup,,
19603ca96b960e7fbb0165cfa5e11b7a0174fb899fc01a50d4f0c8b1da39a58e,POST,/v1/run/tripadvisor.reviews,https://api.getanyapi.com,Tripadvisor Reviews,"""Fetch the latest reviews for any Tripadvisor hotel, restaurant, or attraction by its page URL — rating, text, date, and trip details as normalized JSON with transparent per-request USD pricing.""",fields | max_items | summary | limit | since | url,travel.place_reviews,travel,lookup,,
a2267c07d0cd0d3da9b733d19ba7258c1403d308af2452435005a0ee7b6dd466,POST,/v1/run/tripadvisor.search,https://api.getanyapi.com,Tripadvisor Search,"""Search Tripadvisor for hotels, restaurants, and attractions in any destination and get rich place records (ratings, review counts, contact details, pricing) as normalized JSON with transparent per-request USD pricing.""",fields | max_items | summary | currency | limit | query,travel.place_reviews,maps,search,,
df6d2974537866f8cfc0fc1e3168f0ee78a6f2bd567955b30df755e4c3f54025,POST,/v1/run/trustpilot.reviews,https://api.getanyapi.com,Trustpilot Reviews,"""Pull Trustpilot reviews for any company by brand name — star ratings, review text, dates, and reviewer details as clean JSON, billed per request in USD.""",fields | max_items | summary | company | limit | sortBy | stars | verifiedOnly,travel.place_reviews,travel,lookup,shop,
a7818cf88c41af153109e3e05cee17f4a538f1c973034e290071b7a39c07870e,POST,/api/v1/check/domain,https://api.nameintel.io,Domain availability check,"""Check domain name availability and pricing across .com, .io, .ai, .app, .co, .dev, and other configured TLDs. Returns availability status and premium/auction detection for each extension. Use when an agent only needs to know whether a domain is takeable.""",name | tlds | platforms | niceClasses,cloud.domains,,lookup,cloud,Domain
046e054475f5da94b326c88a5d866d0aa46b9093b9ae37b6ca1be5a4b88d1d26,GET,/api/wirecutter/reviews,https://stableproduct.dev,List Wirecutter review URLs from the public Wirecutter review sitemaps. Defaults to recommendation-like review pages.,,query | recommendation_only | include_scoop | limit | offset,travel.place_reviews,travel,lookup,shop,
aa40657fdd1c21719fb03c8b81b76aa83ce76751715f1487173430f58e7b9cbc,GET,/api/wirecutter/review,https://stableproduct.dev,"""Read one persisted Wirecutter review, including extracted recommendations and offers, by id, url, or slug.""",,id | url | slug | include_inactive_offers,travel.place_reviews,travel,lookup,shop,
faa91b2c154340188af9c0b1051e77ba99e02f77f7159c1d2e8d3146f9a9540a,GET,/api/play-store-apps/app-reviews,https://stableninja.dev,Fetch Google Play Store reviews for an Android app.,,app_id | limit | cursor | sort_by | device | rating | region | language,travel.place_reviews,shop,lookup,,
cec329d453c5ee2664e99042d08870f351c421502636eefc2bdcc3c7789052d2,GET,/api/yelp/business-reviews,https://stableninja.dev,Fetch Yelp reviews for a business ID.,,business_id | page | page_size | num_pages | sort | query | language,travel.place_reviews,travel,lookup,maps,
de310aae65a60f8fe0f36bf254c6170cabd372695713a35b738f6362d8ecc5e8,GET,/api/walmart/product-reviews,https://stableninja.dev,Fetch Walmart product reviews by product ID.,,product_id | page | domain | rating | limit | sort,travel.place_reviews,shop,lookup,,
8190bb119bba2f20ab2ecb2c51bbf673563750c9697b4319d2de031336eeae8f,GET,/api/amazon/product-reviews,https://stableninja.dev,Fetch Amazon product reviews by ASIN.,,asin | country | page | sort_by | star_rating | verified_purchases_only,travel.place_reviews,shop,lookup,,
583515af3d84422539bf353566681e048b83a887e703593a656d54b30b6dac63,GET,/api/travel/deals,https://travelpulse-nu.vercel.app,Travel deals,"""Current hotel deals, attraction discounts, restaurant offers, and money-saving tips for any destination.""",destination | lang,travel.place_reviews,travel,lookup,,
db9c74d2c157e15bbcba083fd0a94c1ec54154cc33cb14848ea7035ff833aed8,GET,/api/travel/phrasebook,https://travelpulse-nu.vercel.app,Essential travel phrasebook by destination language,"""Essential travel phrases for any destination language with phonetic pronunciation. Returns: greeting/farewell, numbers 1-10, transport phrases, food ordering, emergency phrases, accommodation phrases, shopping/bargaining, and cultural etiquette notes. Supports 100+ language pairs. Babbel language learning affiliate included for travelers seeking deeper fluency.""",destination | focus | lang,travel.place_reviews,travel,lookup,,
1b54a77113b7e10c8baf31a8f3dd21493539966922ca99fcf06cd4f8642387ee,POST,/api/actors/compass/Google-Maps-Reviews-Scraper/call,https://stableapify.dev,"""Start the """"Google Maps Reviews Scraper"""" Apify actor (compass/Google-Maps-Reviews-Scraper). Extract all reviews of Google Maps places using place URLs. Get review text, published date, response from owner, review URL, and reviewer's details. Download…""",,input | options,travel.place_reviews,maps,lookup,,
